2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
30.8953566622,8.6161395245,23.9187976671,2.5524495113
3.6615853659,13.131097561,18.1737804878,0.5347758144
42.9804216867,26.4774096386,14.3268072289,0.6765031706
18.4222883598,40.9659391534,6.7579365079,1.7800316974
17.625,44.25,9.2125,0.4209725752
42.822851667,24.0104519522,18.2027322161,2.7555330155
37.9138866148,6.5704564061,13.7493348342,2.0887427777
44.6728327125,3.8405435151,9.3101506942,2.2250082275
23.873540146,29.3454379562,14.0479927007,1.7224660128
5.1002417228,10.8473117492,10.3102475828,2.3350126354
31.7674825175,28.0708041958,23.7019230769,1.0217998077
36.6578651685,11.9393258427,1.9974719101,1.4917881091
21.3831755594,38.144363167,0.7829173838,1.2941040103
39.111631016,32.8282085561,11.2346256684,0.8868653238
36.9711538462,8.0032051282,23.3493589744,0.6626364777
38.8157894737,36.9539473684,24.9144736842,0.5214007735
34.1486220472,33.842519685,4.532480315,1.2374615389
10.8785714286,15.7678571429,8.9678571429,0.8052915663
14.8549764429,3.3102179034,0.5855418139,1.4685194478
34.7217741935,19.3588709677,18.2943548387,0.6138200007
19.4586808052,6.9360711718,16.8140726096,2.9603485681
28.8928571429,39.7619047619,22.8639455782,1.4873048722
6.567139738,32.759279476,11.1943231441,1.1954524275
25.7526290631,32.6156787763,27.5573613767,1.574300743
28.4102564103,42.3365384615,22.6626602564,1.0518698417
34.6273364486,40.2742731049,15.0076583593,1.5315078761
26.4372362869,39.0981012658,0.7378691983,1.2092142397
31.5042626728,8.5959677419,26.2109447005,1.5936283667
43.5155529954,35.2667050691,16.5754608295,0.9319595225
25.7694788442,23.0251547988,13.6704076367,1.9335781502
19.654154519,10.5768950437,19.7292274052,1.0856133591
22.7852941176,42.675,0.8,0.8591324297
7.6296419098,39.5460875332,0.4479442971,1.1203599847
7.0421428571,37.0075,12.1739285714,1.3770292084
5.6170212766,43.2632978723,28.2659574468,0.8884433793
42.0873590982,11.1494900698,14.7520128824,2.4043153129
13.5741525424,2.1424788136,0.8347457627,1.2075111188
35.0585724889,7.739670955,9.3912048491,1.9607967425
33.4753649635,14.4881386861,0.4534671533,0.7994979011
35.1487752161,14.2424351585,23.6448126801,1.3730835443
8.5030760626,40.274049217,5.7181208054,1.4940196579
39.2664170507,17.8467741935,20.9282834101,1.4793935264
19.7867250674,30.1357816712,25.36893531,1.1143846179
8.0453296703,8.7189060939,14.4426823177,1.5513930138
34.1208762887,1.2538659794,1.3280927835,1.2184967779
36.6400687346,34.2963077194,5.4882358125,2.1954838705
37.6585365854,39.8274390244,4.2274390244,1.4516048917
4.0037069988,41.7768386714,4.0698398577,1.4650518565
40.3531659389,45.5547671033,2.7301673945,1.3684514201
23.4484058403,20.576534565,19.8403456496,3.9704627361
11.4827586207,1.9099137931,1.3650862069,1.6295329078
16.6408227848,29.6503164557,25.8481012658,0.8384223262
13.2472278226,14.5209173387,3.3353074597,2.455280003
5.0410305344,44.0791984733,11.3082061069,0.7876517413
36.4846774194,28.9459677419,11.2766129032,0.8330819117
42.8344155844,2.3758116883,13.7272727273,1.0473553233
13.6455357143,44.0619047619,11.3961309524,1.4633118883
28.9462025316,22.9113924051,7.8299050633,1.0563459375
4.4979556075,22.8840537383,6.4547313084,1.4725443842
8.3894859813,9.5913551402,2.0329439252,1.2590077387
40.1924715909,18.4417613636,28.5138494318,1.3796471409
7.6644736842,36.7697368421,24.3068181818,0.9203631764
38.7706582633,2.0892857143,24.0353641457,1.1001870895
14.3223684211,38.7697368421,18.4013157895,0.4138360682
20.2996987952,40.9111445783,11.9472891566,0.6765031706
42.2103909465,37.5550411523,25.4202674897,0.9677857656
18.4096049046,10.479359673,14.7639645777,1.898697718
18.4684256055,12.651816609,27.3083910035,1.0253601145
37.6201963241,13.7825814536,24.979427736,2.074683506
35.6578525641,8.4543269231,7.8108974359,1.0518698417
5.7522489369,22.6919774289,3.4963608113,2.250827876
32.9923184358,1.6040502793,3.5886871508,0.8740336421
36.9635416667,38.8958333333,4.7552083333,0.5636258259
43.4243093136,26.5646895471,16.8694460268,2.9698242373
7.359375,28.859375,28.8828125,0.4923725109
3.6098484848,11.7689393939,1.4659090909,0.497448874
39.873389694,8.2224235105,27.4023752013,1.3231457078
41.7907142857,2.325,28.165,0.867474043
33.7880434783,10.5004940711,17.1971343874,0.980883237
4.5528688525,14.7288934426,24.2756147541,1.6571573566
9.8665966387,27.5052521008,0.2069327731,0.7628271224
9.3768404908,18.4636503067,8.3820552147,1.448648458
43.5772900763,29.161259542,27.9150763359,0.7876517413
37.4285794183,10.0398769575,28.2358501119,2.0276966394
25.5595837145,28.8930695334,27.6546584324,2.3040449336
7.6552158273,26.0226618705,0.9458633094,1.7308073827
26.5817307692,43.1490384615,19.3004807692,1.0518698417
31.5492424242,7.2462121212,28.7234848485,0.497448874
15.490942029,20.7336956522,27.8677536232,0.6361021095
6.7897712418,3.7503594771,12.3423856209,2.4254237099
40.578125,39.625,16.421875,0.3907963209
29.1951025892,27.9931301905,10.8455819492,3.938338873
30.1454326923,34.8713942308,18.2415865385,0.9188929452
12.6056944444,10.1049074074,1.7688888889,2.7208737589
42.1041666667,23.8680555556,3.5486111111,0.5120880474
35.2996284501,6.667108988,16.2132873319,1.7403016269
43.7690602837,35.2056737589,14.8785460993,1.281357082
